Feature,ANOVA F-value,ANOVA p-value,Mutual Information
MICAL1,33.912981343448884,1.124603987147311e-12,0.16952708834613017
RAB31,33.908716909820605,1.1278085404331453e-12,0.282884573202524
MAP4,33.76846238660447,1.2385330239560937e-12,0.23508192954929275
IGHG3,33.6604585000905,1.3312686533668515e-12,0.2733484485606419
TGOLN2,33.630418141372644,1.358293491948063e-12,0.29972018153891566
NCEH1,33.54706927314402,1.4362276465700193e-12,0.20717437704466302
PLEK,33.53703907095028,1.4459072000542026e-12,0.18999212190209103
PPP1R12A,33.493435439178505,1.4887619160763421e-12,0.18982711380287487
HSD17B2,33.4652461017543,1.5171508847498248e-12,0.3270884638900424
KCNAB2,33.29259856108345,1.7034194525643485e-12,0.30926674773502305
AASS,33.10414401790272,1.9333790652604498e-12,0.3578374914441609
GLS,33.073639169596206,1.9734615663154142e-12,0.20916821012167097
GRIPAP1,32.95849042446089,2.1325164368728277e-12,0.38214582872294534
HPR,32.86364152874465,2.273266206122895e-12,0.2963077492105688
DLG3,32.74651033337236,2.460170757040136e-12,0.3077708461911852
SRRM1,32.59219990231098,2.7304438622598374e-12,0.25853631318563597
HIP1R,32.502538460961816,2.9011350414693524e-12,0.22592999257365887
ADA,32.2156379589195,3.523646816835129e-12,0.2561901996772089
GSDMA,32.21241594627047,3.5313589557663982e-12,0.3492415099724653
NMI,32.063164489433206,3.908032800638879e-12,0.2767701661000994
GPSM3,32.05627145212237,3.926382801299633e-12,0.20566916422820225
BUB3,32.04432771408841,3.958385554878569e-12,0.25201046251549597
ALDH1B1,32.031895374064824,3.991978706870815e-12,0.2603907961106726
MYH10,31.990554011578865,4.105781064198514e-12,0.20380230031322544
FUNDC2,31.975948530693454,4.146768627500853e-12,0.18482365926956779
COQ5,31.83878545484168,4.552546619341709e-12,0.15590598891818663
LPA,31.83351656569997,4.568913806970791e-12,0.35505598537273286
LDB3,31.748025324275275,4.842985811502873e-12,0.1994281717111024
CRYBG1,31.58380491969915,5.417181473797567e-12,0.3364596497355279
GADD45A,31.576606655513935,5.443874934029694e-12,0.178552697819643
ATP2A3,31.572344246053255,5.459744184790437e-12,0.26715616928262254
OAT,31.55416325487764,5.527962165082577e-12,0.16711119878223468
CD48,31.375841368068407,6.24468298628899e-12,0.174173935451579
PRDX4,31.370729427364925,6.266565402782924e-12,0.28909395167758123
DRG1,31.235581823398338,6.874189209105458e-12,0.35545391407819027
SFRP1,31.090846765606102,7.591461076307187e-12,0.2965927060843512
FBXO7,31.023694132209204,7.949606642575387e-12,0.18312776092009697
MRC1,31.004046308432425,8.05760231704197e-12,0.2406637174095918
FYCO1,30.972868940015754,8.23203531344317e-12,0.29291369965747105
MRPS27,30.966317282235234,8.269175443026362e-12,0.3143072788978811
PRTN3,30.930909681572334,8.472857357172692e-12,0.34828860898671166
OXCT1,30.892235203643004,8.701155552237153e-12,0.32382887436539565
KPRP,30.83455662928445,9.053289643245911e-12,0.1565977432905672
GCLM,30.817131899222844,9.162488216185665e-12,0.23835749578741394
PGLYRP1,30.796262260552226,9.295036300355727e-12,0.3234404734051184
ASS1,30.76634149746928,9.488472706164865e-12,0.30004067903721277
CTSS,30.74810571036517,9.608364733743827e-12,0.2644639279493275
MNDA,30.737939480576966,9.67586928293681e-12,0.31917747014323994
CLDN1,30.65230717935799,1.0263920963494743e-11,0.34291418384806827
APOB,30.589128574502475,1.072092272151935e-11,0.27874321016270276
SNX5,30.544295018986073,1.1057703816127656e-11,0.31988050012553493
DDX24,30.233733419184787,1.3705089280048453e-11,0.24075206953568107
EPS8L2,30.18314793445142,1.4193624424079389e-11,0.22913534511400835
LGALS7,30.14281598004143,1.459577134605076e-11,0.3410076177215635
TPM1.2,30.136137450023146,1.4663469736597647e-11,0.20188250068781377
IFI30,30.125544640857317,1.477150018809988e-11,0.24113549396322553
LMAN2,30.077125756695235,1.5275675619667278e-11,0.28542894594556567
RMDN1,30.040642006475526,1.566708145211924e-11,0.24068976557982058
SERPINA4,30.014026949765025,1.5959020680031433e-11,0.3525658953289772
ACTC1,29.974334490454027,1.6404694955105656e-11,0.3106505452745958
BPI,29.823536558336144,1.821619276373452e-11,0.34277466765156683
HPX,29.7868416591899,1.8686912140137815e-11,0.12601825714229276
ACP1,29.679125902797114,2.014123381712684e-11,0.19654103446304028
PRAF2,29.596252959151148,2.133792932799185e-11,0.2408920689989016
H1-10,29.559601278747017,2.1889957988411445e-11,0.1704212654389976
CAMP,29.55015428555026,2.2034578251203146e-11,0.3258743476858714
GLUL,29.4586999061133,2.348574482737504e-11,0.15191319639303602
CETN2,29.45318115782733,2.3576356043602846e-11,0.2579797148418388
